term_PT,term_HLT,term_HLGT,term_SOC
diethylstilboestrol syndrome,chemically-induced congenital syndromes,congenital and hereditary disorders nec,"congenital, familial and genetic disorders"
apraxia,cortical dysfunction nec,neurological disorders nec,nervous system disorders
vitamin d increased,vitamin analyses,"metabolic, nutritional and blood gas investigations",investigations
heart sounds normal,cardiac auscultatory investigations,cardiac and vascular investigations (excl enzyme tests),investigations
dyshidrotic eczema,dermatitis and eczema,epidermal and dermal conditions,skin and subcutaneous tissue disorders
hydroxycorticosteroids urine,adrenal cortex tests,endocrine investigations (incl sex hormones),investigations
ileocolic bypass,gastrointestinal therapeutic procedures nec,gastrointestinal therapeutic procedures,surgical and medical procedures
bovine pustular stomatitis virus infection,parapox viral infections,viral infectious disorders,infections and infestations
face and mouth x-ray normal,musculoskeletal and soft tissue imaging procedures,musculoskeletal and soft tissue investigations (excl enzyme tests),investigations
pulmonary physical examination,physical examination procedures and organ system status,physical examination and organ system status topics,investigations
prophylaxis against dehydration,prophylactic procedures nec,therapeutic procedures and supportive care nec,surgical and medical procedures
neonatal deafness,hearing losses,hearing disorders,ear and labyrinth disorders
urine lactic acid decreased,blood gas and acid base analyses,"metabolic, nutritional and blood gas investigations",investigations
ureteral stent removal,ureteric therapeutic procedures,renal and urinary tract therapeutic procedures,surgical and medical procedures
insulin tolerance test,"gastrointestinal, pancreatic and apud hormone analyses",endocrine investigations (incl sex hormones),investigations
palatal disorder,oral soft tissue disorders nec,oral soft tissue conditions,gastrointestinal disorders
faecal calprotectin,faecal analyses nec,gastrointestinal investigations,investigations
hepatojugular reflux,heart failure signs and symptoms,heart failures,cardiac disorders
extremity contracture,musculoskeletal and connective tissue conditions nec,musculoskeletal and connective tissue disorders nec,musculoskeletal and connective tissue disorders
splenic marginal zone lymphoma stage ii,splenic marginal zone lymphomas,lymphomas non-hodgkin's b-cell,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
cronobacter test positive,bacteria identification and serology (excl mycobacteria),microbiology and serology investigations,investigations
focal myositis,muscle infections and inflammations,muscle disorders,musculoskeletal and connective tissue disorders
ileal ulcer,intestinal ulcers and perforation nec,gastrointestinal ulceration and perforation,gastrointestinal disorders
cardiac failure congestive,heart failures nec,heart failures,cardiac disorders
synovial cyst,synovial disorders,synovial and bursal disorders,musculoskeletal and connective tissue disorders
macrophage activation,therapeutic procedures nec,therapeutic procedures and supportive care nec,surgical and medical procedures
weber tuning fork test,auditory function diagnostic procedures,"neurological, special senses and psychiatric investigations",investigations
protein urine absent,urinalysis nec,renal and urinary tract investigations and urinalyses,investigations
urobilinogen faeces decreased,liver function analyses,hepatobiliary investigations,investigations
ehrlichia test,bacteria identification and serology (excl mycobacteria),microbiology and serology investigations,investigations
appendicitis perforated,abdominal and gastrointestinal infections,infections - pathogen unspecified,infections and infestations
spermatic cord stenosis,testicular and epididymal disorders nec,testicular and epididymal disorders,reproductive system and breast disorders
fibrin degradation products,coagulation and bleeding analyses,haematology investigations (incl blood groups),investigations
proctitis mycoplasmal,mycoplasma infections,mycoplasmal infectious disorders,infections and infestations
pulmonary valve sclerosis,pulmonary valvular disorders,cardiac valve disorders,cardiac disorders
glycogen storage disease type vii,inborn errors of carbohydrate metabolism (excl glucose),metabolic and nutritional disorders congenital,"congenital, familial and genetic disorders"
angiokeratoma,telangiectasia and related conditions,skin vascular abnormalities,skin and subcutaneous tissue disorders
lipomeningocele,central nervous system disorders congenital nec,neurological disorders congenital,"congenital, familial and genetic disorders"
transcatheter arterial chemoembolisation,hepatic therapeutic procedures,hepatobiliary therapeutic procedures,surgical and medical procedures
hysterosalpingo-oophorectomy,uterine therapeutic procedures,obstetric and gynaecological therapeutic procedures,surgical and medical procedures
breath sounds abnormal,physical examination procedures and organ system status,physical examination and organ system status topics,investigations
brachytherapy to penis,penile therapeutic procedures,male genital tract therapeutic procedures,surgical and medical procedures
application site nerve damage,application and instillation site reactions,administration site reactions,general disorders and administration site conditions
protein s,coagulation and bleeding analyses,haematology investigations (incl blood groups),investigations
thermohyperaesthesia,paraesthesias and dysaesthesias,neurological disorders nec,nervous system disorders
bone development abnormal,bone disorders nec,bone disorders (excl congenital and fractures),musculoskeletal and connective tissue disorders
vocational rehabilitation,nervous system therapeutic procedures nec,"nervous system, skull and spine therapeutic procedures",surgical and medical procedures
biopsy tongue,gastrointestinal histopathology procedures,gastrointestinal investigations,investigations
ileectomy,small intestine therapeutic procedures,gastrointestinal therapeutic procedures,surgical and medical procedures
metanephrine urine,adrenal medulla tests,endocrine investigations (incl sex hormones),investigations
choroid melanoma,ocular melanomas,ocular neoplasms,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
enterocolitis fungal,fungal infections nec,fungal infectious disorders,infections and infestations
eyeball avulsion,eye injuries nec,injuries nec,"injury, poisoning and procedural complications"
