ENG,term_HLT,term_HLGT,term_SOC
X-ray therapy to lung,Pulmonary radiotherapies,Respiratory tract therapeutic procedures,Surgical and medical procedures
Chemical phlebitis,Chemical injuries,"Exposures, chemical injuries and poisoning","Injury, poisoning and procedural complications"
Cowden's disease,Gene mutations and other alterations NEC,"Chromosomal abnormalities, gene alterations and gene variants","Congenital, familial and genetic disorders"
Vaccination site pruritus,Vaccination site reactions,Administration site reactions,General disorders and administration site conditions
Cytomegalovirus gastrointestinal infection,Cytomegaloviral infections,Viral infectious disorders,Infections and infestations
Blood thyroid stimulating hormone normal,Pituitary analyses anterior,Endocrine investigations (incl sex hormones),Investigations
Product cleaning inadequate,Product contamination and sterility issues,"Product quality, supply, distribution, manufacturing and quality system issues",Product issues
Injection site deformation,Injection site reactions,Administration site reactions,General disorders and administration site conditions
Aortic thrombosis,Aortic embolism and thrombosis,Embolism and thrombosis,Vascular disorders
Foreign body sensation in eyes,Ocular sensation disorders,Ocular sensory symptoms NEC,Eye disorders
Carpal tunnel decompression,Peripheral nerve therapeutic procedures,"Nervous system, skull and spine therapeutic procedures",Surgical and medical procedures
Lower respiratory tract infection,Lower respiratory tract and lung infections,Infections - pathogen unspecified,Infections and infestations
Testicular autoimmunity,Testicular and epididymal disorders NEC,Testicular and epididymal disorders,Reproductive system and breast disorders
Urological examination normal,Physical examination procedures and organ system status,Physical examination and organ system status topics,Investigations
Maisonneuve fracture,Limb fractures and dislocations,Bone and joint injuries,"Injury, poisoning and procedural complications"
Herpes simplex virus conjunctivitis neonatal,Herpes viral infections,Viral infectious disorders,Infections and infestations
Accessory liver lobe,Hepatobiliary abnormalities congenital,Hepatobiliary disorders congenital,"Congenital, familial and genetic disorders"
Appendicitis,Abdominal and gastrointestinal infections,Infections - pathogen unspecified,Infections and infestations
Vth nerve injury,Cranial nerve injuries,Injuries NEC,"Injury, poisoning and procedural complications"
Denture stomatitis,Candida infections,Fungal infectious disorders,Infections and infestations
Enterobacter tracheobronchitis,Enterobacter infections,Bacterial infectious disorders,Infections and infestations
Amniotic fluid volume decreased,Foetal and neonatal diagnostic procedures,Foetal and neonatal investigations,Investigations
Dehydroepiandrosterone test,Adrenal cortex tests,Endocrine investigations (incl sex hormones),Investigations
Premature menopause,Menopausal effects NEC,Menopause related conditions,Reproductive system and breast disorders
Suicide threat,Suicidal and self-injurious behaviour,Suicidal and self-injurious behaviours NEC,Psychiatric disorders
Subgaleal haemorrhage,Haemorrhages NEC,Vascular haemorrhagic disorders,Vascular disorders
Parainfluenzae virus infection,Parainfluenzae viral infections,Viral infectious disorders,Infections and infestations
Anal lesion excision,Anorectal therapeutic procedures,Gastrointestinal therapeutic procedures,Surgical and medical procedures
Ovarian repair,Ovarian therapeutic procedures,Obstetric and gynaecological therapeutic procedures,Surgical and medical procedures
Gastritis prophylaxis,Gastrointestinal therapeutic procedures NEC,Gastrointestinal therapeutic procedures,Surgical and medical procedures
Granuloma inguinale,Klebsiella infections,Bacterial infectious disorders,Infections and infestations
Audiogram,Auditory function diagnostic procedures,"Neurological, special senses and psychiatric investigations",Investigations
Neuroglycopenia,Neurological signs and symptoms NEC,Neurological disorders NEC,Nervous system disorders
Non-high-density lipoprotein cholesterol,Cholesterol analyses,Lipid analyses,Investigations
Nutritional condition abnormal,Physical examination procedures and organ system status,Physical examination and organ system status topics,Investigations
Malignant pituitary tumour,Endocrine neoplasms malignant and unspecified NEC,Endocrine neoplasms malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Meningitis neonatal,Central nervous system and spinal infections,Infections - pathogen unspecified,Infections and infestations
Application site atrophy,Application and instillation site reactions,Administration site reactions,General disorders and administration site conditions
Fibronectin normal,Protein analyses NEC,Protein and chemistry analyses NEC,Investigations
Urine protein/creatinine ratio,Renal function analyses,Renal and urinary tract investigations and urinalyses,Investigations
Vascular pseudoaneurysm thrombosis,Cardiac and vascular procedural complications,Procedural related injuries and complications NEC,"Injury, poisoning and procedural complications"
Infective chondritis,Bone and joint infections,Infections - pathogen unspecified,Infections and infestations
Myosclerosis,Muscle related signs and symptoms NEC,Muscle disorders,Musculoskeletal and connective tissue disorders
Blood chloride normal,Mineral and electrolyte analyses,"Water, electrolyte and mineral investigations",Investigations
Transvestism,Paraphilias and paraphilic disorders,"Sexual dysfunctions, disturbances and gender identity disorders",Psychiatric disorders
Systemic bartonellosis,Bartonella infections,Bacterial infectious disorders,Infections and infestations
Acoustic shock,Ear injuries NEC,Injuries NEC,"Injury, poisoning and procedural complications"
Iontophoresis,Therapeutic procedures NEC,Therapeutic procedures and supportive care NEC,Surgical and medical procedures
Visual tracking test abnormal,Ophthalmic function diagnostic procedures,"Neurological, special senses and psychiatric investigations",Investigations
Umbilical artery hypoplasia,Arterial disorders congenital,Cardiac and vascular disorders congenital,"Congenital, familial and genetic disorders"
Activated partial thromboplastin time ratio normal,Coagulation and bleeding analyses,Haematology investigations (incl blood groups),Investigations
Cervical cyst,Cervix neoplasms,Cervix disorders (excl infections and inflammations),Reproductive system and breast disorders
Sweat discolouration,Apocrine and eccrine gland disorders,Skin appendage conditions,Skin and subcutaneous tissue disorders
Echo virus infection,Echo viral infections,Viral infectious disorders,Infections and infestations
Occupational exposure to vibration,Occupational exposures,"Exposures, chemical injuries and poisoning","Injury, poisoning and procedural complications"
Inborn error of lipid metabolism,Inborn errors of lipid metabolism,Metabolic and nutritional disorders congenital,"Congenital, familial and genetic disorders"
Coombs test positive,Blood grouping and cross-matching analyses,Haematology investigations (incl blood groups),Investigations
Rapid-onset dystonia-parkinsonism,Neurological disorders congenital NEC,Neurological disorders congenital,"Congenital, familial and genetic disorders"
Pearson's syndrome,Genetic mitochondrial abnormalities NEC,Cytoplasmic disorders congenital,"Congenital, familial and genetic disorders"
Pericardial effusion,Pericardial disorders NEC,Pericardial disorders,Cardiac disorders
Monocytic leukaemia in remission,Leukaemias myeloid NEC,Leukaemias,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Cystitis escherichia,Escherichia infections,Bacterial infectious disorders,Infections and infestations
Gastrointestinal pathogen panel,Microbiology and serology tests NEC,Microbiology and serology investigations,Investigations
Complication of delivery,Maternal complications of delivery NEC,Maternal complications of labour and delivery,"Pregnancy, puerperium and perinatal conditions"
Oestriol abnormal,Reproductive hormone analyses,Endocrine investigations (incl sex hormones),Investigations
Angiotensin I decreased,Chemistry analyses NEC,Protein and chemistry analyses NEC,Investigations
White clot in blood present,Platelet analyses,Haematology investigations (incl blood groups),Investigations
Mitochondrial DNA deletion,Genetic mitochondrial abnormalities NEC,Cytoplasmic disorders congenital,"Congenital, familial and genetic disorders"
Antiprogestational therapy,Hormonal therapeutic procedures NEC,Endocrine gland therapeutic procedures,Surgical and medical procedures
Nervous system cyst,Nervous system cysts and polyps,Nervous system neoplasms benign,Nervous system disorders
Biopsy pancreas,Gastrointestinal histopathology procedures,Gastrointestinal investigations,Investigations
Erythrodermic psoriasis,Psoriatic conditions,Epidermal and dermal conditions,Skin and subcutaneous tissue disorders
Haemoglobinaemia,Haemolyses NEC,Haemolyses and related conditions,Blood and lymphatic system disorders
Poorly differentiated thyroid carcinoma,Thyroid neoplasms malignant,Endocrine neoplasms malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Stroke volume increased,Cardiac function diagnostic procedures,Cardiac and vascular investigations (excl enzyme tests),Investigations
Cow pox,Orthopox viral infections,Viral infectious disorders,Infections and infestations
Urinary tract infection pseudomonal,Pseudomonal infections,Bacterial infectious disorders,Infections and infestations
Endometrial scratching,Fertility and fertilisation interventions female,Obstetric and gynaecological therapeutic procedures,Surgical and medical procedures
