,LLT,PT
29710,primary thrombocytopenia,thrombocytopenia
29711,"acute gastritis, without mention of haemorrhage",gastritis
29712,kidney tumours stage iv,renal cancer stage iv
29713,removal of meniscus of knee,meniscus removal
29714,mediastinal metastases,metastases to the mediastinum
29715,bilateral renal artery stenosis,renal artery stenosis
29716,flexion-extension injury,post-traumatic neck syndrome
29717,tertiary sequestrum,bone sequestrum
29718,kielland's forceps delivery,forceps delivery
29719,pleomorphic medium and large t-cell lymphoma (kiel classification) stage iv,peripheral t-cell lymphoma unspecified stage iv
29720,csf white cell count nos normal,csf white blood cell count negative
29721,insufficiency fracture,stress fracture
29722,prospermia,premature ejaculation
29723,haemolacria,lacrimal haemorrhage
29724,idiopathic peripheral autonomic neuropathy,autonomic neuropathy
29725,urine production scanty,oliguria
29726,mastoid infection,mastoiditis
29727,numbness in back of head,hypoaesthesia
29728,intrahepatic bile duct carcinoma,cholangiocarcinoma
29729,vegetative dystonia,autonomic nervous system imbalance
29730,bleeding intraretinal,retinal haemorrhage
29731,pseudoepitheliomatous hyperplasia,chronic papillomatous dermatitis
29732,device preparation issue,product preparation issue
29733,respiratory tract neoplasm nos,respiratory tract neoplasm
29734,thyroid associated orbitopathy,endocrine ophthalmopathy
29735,eczematous nipple,eczema
29736,venipuncture site phlebitis,vessel puncture site phlebitis
29737,bcr-abl t315i mutation,philadelphia chromosome positive
29738,device fail-safe mechanism issue,device safety feature issue
29739,cold injury syndrome of newborn,hypothermia neonatal
29740,potassium high,blood potassium increased
29741,idiopathic cardiomegaly,endocardial fibroelastosis
29742,hypersensitivity type ii,type ii hypersensitivity
29743,vitamin b complex supplementation,vitamin supplementation
29744,rupture of membranous urethra,urethral perforation
29745,oedema at application site,application site oedema
29746,tumour abscess,infected neoplasm
29747,arrhythmia nos foetal,foetal arrhythmia
29748,biliary cirrhosis primary,primary biliary cholangitis
29749,abscess dental,tooth abscess
29750,catheter dislodgment,device dislocation
29751,undefined cell lymphoma (lukes-collins classification) stage i,precursor b-lymphoblastic lymphoma stage i
29752,red blood cell distribution width increased,red cell distribution width increased
29753,malignant neoplasm of lip,lip neoplasm malignant stage unspecified
29754,congestive cardiac failure aggravated,cardiac failure congestive
29755,full-thickness skin loss due to burn (third degree nos) of ankle,burns third degree
29756,blood progesterone increased,progesterone increased
29757,tachypsychia,tachyphrenia
29758,platelets increased,platelet count increased
29759,hypotrichosis of eyelid,hypotrichosis
29760,per vaginal bleeding,vaginal haemorrhage
29761,syndrome buccoglossal,buccoglossal syndrome
29762,necatoriasis due to necator americanus,hookworm infection
29763,fourth-degree perineal laceration during delivery,perineal injury
29764,ophthalmologist consultation,specialist consultation
29765,descending thoracic aorta rupture,aortic rupture
29766,drug overdose deliberate self-inflicted,intentional overdose
29767,dimorphic anaemia,anaemia
29768,anal fistula excision,anal fistula repair
29769,webbed fingers,syndactyly
29770,painful orgasm,orgasm abnormal
29771,hepatic neoplasm malignant nos,hepatic cancer
29772,x-ray therapy nos,x-ray treatment
29773,chronic monocytic leukaemia,chronic myelomonocytic leukaemia
29774,hmpv test,human metapneumovirus test
29775,tyrosinemia,tyrosinaemia
29776,raynaud-like disorder,raynaud's phenomenon
29777,secondary tuberculosis,tuberculosis
29778,laryngeal neoplasm nos,laryngeal neoplasm
29779,x linked severe combined immunodeficiency,combined immunodeficiency
29780,skin staining,skin discolouration
29781,sweat gland tumour nos,sweat gland tumour
29782,papillotomy,duodenal sphincterotomy
29783,psychogenic dysmenorrhoea,somatic symptom disorder
29784,pressure cerebrospinal fluid increased,csf pressure increased
29785,malignant neoplasm of pylorus,gastric cancer
29786,alpha-thalassemia-intellectual deficit syndrome,alpha-thalassaemia-intellectual deficit syndrome
29787,tumor,neoplasm
29788,atonic hemorrhage,uterine haemorrhage
29789,b-immunoblastic lymphoma (kiel classification) recurrent,diffuse large b-cell lymphoma recurrent
29790,allergy to insect sting,allergy to arthropod sting
29791,viscosupplementation,joint injection
29792,dyskinesia aggravated,dyskinesia
29793,erythema due to burn (first degree) of knee,burns first degree
29794,edwards' syndrome,trisomy 18
29795,pancreatic adenocarcinoma recurrent,pancreatic carcinoma recurrent
29796,breast discoloration,breast discolouration
29797,erosion of hard tooth tissue,tooth erosion
29798,htlv-2 antibody positive,htlv-2 test positive
29799,nezelof's syndrome,combined immunodeficiency
29800,blood glycoalbumin decreased,glycated albumin decreased
29801,growth plate injury,epiphyseal injury
29802,type i hyperlipoproteinaemia,type i hyperlipidaemia
29803,"paroxysmal tachycardia, unspecified",tachycardia paroxysmal
29804,nasal discharge discoloration,nasal discharge discolouration
29805,endocrine disorder nos,endocrine disorder
29806,ventricular standstill,cardiac arrest
29807,"tricuspid valve disorders, specified as non-rheumatic",tricuspid valve disease
29808,opiate dependency relapse,drug dependence
29809,cerebrospinal fluid cell count increased,csf cell count increased
29810,ovarian germ cell tumor,ovarian germ cell tumour
29811,late onset asthma,asthma late onset
29812,injury to other cranial nerve(s),cranial nerve injury
29813,unspecified urticaria,urticaria
29814,degeneration muscle,muscle atrophy
29815,body mass index high,body mass index increased
29816,childhood dermatomyositis,dermatomyositis
29817,bladder atony,atonic urinary bladder
29818,seasonal sinusitis,allergic sinusitis
29819,tb spine,bone tuberculosis
29820,plasma cortisol normal,cortisol normal
29821,sigmoiditis,colitis
29822,sputum bloody,haemoptysis
29823,perforation nasal septum,nasal septum perforation
29824,calcifying tendinitis of shoulder,rotator cuff syndrome
29825,"loss of disc height, cervical spine",intervertebral disc space narrowing
29826,sedimentation rate increased,red blood cell sedimentation rate increased
29827,counterfeit drug administered,counterfeit product administered
29828,petechia at injection site,injection site haemorrhage
29829,clonic seizures,clonic convulsion
29830,lens opacity,lenticular opacities
29831,diaphragmatic hernia with gangrene,diaphragmatic hernia gangrenous
29832,bladder tumor resection,bladder neoplasm surgery
29833,gas,flatulence
29834,cryptococcus gattii infection,cryptococcosis
29835,dry skin moisturising,dry skin prophylaxis
29836,soreness breast,breast pain
29837,increased stool urgency,defaecation urgency
29838,renal pelvis and ureteric cancer metastatic transitional cell,transitional cell cancer of renal pelvis and ureter metastatic
29839,hypersensitive skin,sensitive skin
29840,respiratory system immature,immature respiratory system
29841,product dissolution decreased,product solubility abnormal
29842,pseudo-membranous bronchitis,fibrinous bronchitis
29843,drug-induced extrapyramidal side effects,extrapyramidal disorder
29844,aneurysm of abdominal aorta,aortic aneurysm
29845,syphilis carrier,sexually transmitted disease carrier
29846,dermatitis venenata,dermatitis contact
29847,infusion site hypopigmentation,infusion site discolouration
29848,intestinal stoma complication,gastrointestinal stoma complication
29849,red confluent rash both legs,rash erythematous
29850,primary plasmin inhibitor decreased,plasmin inhibitor decreased
29851,thoracic spine flattening,spinal flattening
29852,trauma to perineum and vulva during delivery,traumatic delivery
29853,hbv dna detectable,hepatitis b dna assay positive
29854,nocturnal polyuria,nocturia
29855,supratherapeutic inr,anticoagulation drug level above therapeutic
29856,inevitable abortion,imminent abortion
29857,chronic obstructive pulmonary disease exacerbation,chronic obstructive pulmonary disease
29858,hypotension asymptomatic,hypotension
29859,vaccination site hematoma,vaccination site haematoma
29860,esophageal adenocarcinoma metastatic,oesophageal adenocarcinoma
29861,burn of unspecified degree of knee,thermal burn
29862,plasma chloride normal,blood chloride normal
29863,"late vomiting of pregnancy, unspecified as to episode of care",morning sickness
29864,urolithiasis,calculus urinary
29865,no reaction on previous exposure to vaccine,no reaction on previous exposure to drug
29866,total iron binding capacity increased,iron binding capacity total increased
29867,hemorrhage intrapericardial,pericardial haemorrhage
29868,nodule on finger,nodule
29869,vaginal injury,vulvovaginal injury
29870,post procedural edema,post procedural oedema
29871,"prolonged pregnancy, antepartum",prolonged pregnancy
29872,malignant neoplasm of clitoris stage iv,vulval cancer stage iv
29873,generalised eruption,rash
29874,pigmentary retinal dystrophy,retinal dystrophy
29875,"major depressive disorder, recurrent episode, in full remission",major depression
29876,sexual dysfunction nos,sexual dysfunction
29877,urticaria aggravated,urticaria
29878,ciliary body bleeding,ciliary body haemorrhage
29879,tibial artery occlusion,peripheral artery occlusion
29880,virus tissue specimen test negative,viral test negative
29881,protein-bound iodine increased,protein bound iodine increased
29882,ichthyosis senile,ichthyosis acquired
29883,x-ray nos skull,skull x-ray
29884,buckle fracture,torus fracture
29885,hepatoblastoma non-resectable,hepatoblastoma
29886,large cell immunoblastic lymphoma (angioimmunoblastic t-cell lymphoma) recurrent,angioimmunoblastic t-cell lymphoma recurrent
29887,tuberculosis of bladder,tuberculosis bladder
29888,oral mucosa pain,oral pain
29889,peanut allergy,food allergy
29890,therapeutic procedure nos,therapeutic procedure
29891,closed dislocation of foot,joint dislocation
29892,pertussis serology,bordetella test
29893,extradural hematoma evacuation,extradural haematoma evacuation
29894,inguinal herniorrhaphy,inguinal hernia repair
29895,blast cells nos,blast cells
29896,neurectomy of cochlea,cochlea implant
29897,hemorrhagic conversion stroke,haemorrhagic transformation stroke
29898,larynx carcinoma stage iv,laryngeal cancer stage iv
29899,gastric biopsy,biopsy stomach
29900,expired medical agent used,expired product administered
29901,spinal hemangioma,haemangioma of bone
29902,blood urea nitrogen increased,blood urea increased
29903,localized peritonitis,focal peritonitis
29904,skin xerosis,dry skin
29905,"dissociative disorder or reaction, unspecified",dissociative disorder
29906,"unspecified abnormality of labour, antepartum",abnormal labour
29907,muscle biopsy,biopsy muscle
29908,anaemia folic acid deficiency,anaemia folate deficiency
29909,lymphocele fenestration,lymphocele marsupialisation
29910,secondary amenorrhoea,amenorrhoea
29911,oral hyperesthesia,oral hyperaesthesia
29912,fungal growth genital asymptomatic,genital infection fungal
29913,x-ray of wrist & hand,x-ray limb
29914,"bipolar affective disorder, manic, in full remission",bipolar i disorder
29915,plunging goitre,goitre
29916,product label font size complaint,product use complaint
29917,acquired hemoglobinopathy,acquired haemoglobinopathy
29918,fetal biophysical profile score equivocal,foetal biophysical profile score equivocal
29919,"malignant neoplasm of lower lobe, bronchus or lung, stage i",lung carcinoma cell type unspecified stage i
29920,living in nursing home,living in residential institution
29921,pain dull,pain
29922,prostate adenoma,prostatic adenoma
29923,dreaming excessive due to poor sleep,abnormal dreams
29924,intraventricular hemorrhage grade ii,intraventricular haemorrhage neonatal
29925,anemia hemolytic direct coombs negative,coombs negative haemolytic anaemia
29926,implant site itching,implant site pruritus
29927,penile cellulitis,cellulitis of male external genital organ
29928,abdominal pain nos,abdominal pain
29929,arteritic ischemic optic neuropathy,optic ischaemic neuropathy
29930,interstitial myositis,myositis
29931,right inguinal hernia,inguinal hernia
29932,myeloblastic leukemia,myeloid leukaemia
29933,x-ray nos female genital organs,female genital organs x-ray
29934,enlarged fontanelle,delayed fontanelle closure
29935,obstetrical pelvic hematoma,pelvic haematoma obstetric
29936,bug bite,arthropod bite
29937,"oligohydramnios, antepartum",oligohydramnios
29938,"hallucinogen abuse, continuous use",drug abuse
29939,dermatitis seborrheic,seborrhoeic dermatitis
29940,acute appendicitis,appendicitis
29941,malignant neoplasm of stomach in situ,gastric cancer stage 0
